127.0.0.1 - - [19/Mar/2017:10:02:42 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:02:43 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:02:43 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:02:58 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:02:58 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:03:32 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:03:32 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:03:56 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:03:56 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:03:56 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:04:14 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:04:34 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:04:34 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:04:34 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:06:55 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:06:55 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:07:12 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:07:13 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:07:13 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:07:13 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:07:13 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
